"id","lastpage","Start[naviConfig]","Start[mobile]","Start[consentGiven]","Start[screenSize]","Start[userAgent]","Start[prolificPID]","Age","Gender[gender]","CheckActiveReading","solarIntroGranny[navigationSolar]","Xsolar1[taskTime]","Xsolar1[completed]","Xsolar1[moves]","Xsolar1[errors]","Xsolar2[taskTime]","Xsolar2[completed]","Xsolar2[moves]","Xsolar2[errors]","solarUEQShedonism[boring]","solarUEQShedonism[notInteresting]","solarUEQShedonism[conventional]","solarUEQShedonism[usual]","solarUEQSusability[obstructive]","solarUEQSusability[complicated]","solarUEQSusability[inefficient]","solarUEQSusability[confusing]","batteryIntroGranny[navigationBattery]","Xbattery1[taskTime]","Xbattery1[completed]","Xbattery1[moves]","Xbattery1[errors]","Xbattery2[taskTime]","Xbattery2[completed]","Xbattery2[moves]","Xbattery2[errors]","batteryUEQSusability[obstructive]","batteryUEQSusability[complicated]","batteryUEQSusability[inefficient]","batteryUEQSusability[confusing]","batteryUEQShedonism[boring]","batteryUEQShedonism[notInteresting]","batteryUEQShedonism[conventional]","batteryUEQShedonism[usual]","DataQuality","DataQualityFollowUp","Feedback","ConsentGiven"
"503","21","small","true","Y","430x737","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Mobile/15E148 Safari/604.1","60fe19cafe22cd7db9de1783","37","woman","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","26581","1","4","0","14697","1","6","0","4","5","5","4","7","7","7","7","hamTop","10031","1","1","0","11047","1","1","0","3","6","5","5","2","1","2","3","Yes","","",""
"504","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"505","21","small","true","Y","414x618","Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1","610178e2304c24bc7256b26a","26","woman","This is the button for a hamburger menu, which opens after you click on it.","hamTop","31017","1","4","0","55286","1","1","0","4","5","2","5","7","5","7","6","bottomBar","16859","1","2","0","16376","1","4","0","5","5","7","6","5","7","5","6","Yes","","",""
"506","21","big","true","Y","432x810","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","63bbc8ba5520732c211a6ae8","49","woman","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","93910","1","12","0","37305.199999999255","1","8","0","4","3","5","5","2","2","2","1","hamTop","24166.89999999851","1","2","0","92653.89999999851","1","4","0","2","4","1","1","4","5","1","4","Yes","","Not enough explanation given ahead of time for how the customer was going to see and use those pop-up menus to place their orders. Quite confusing.",""
"507","21","small","true","Y","360x666","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36","6450ee577358c55508e77ff3","63","woman","This is the button for a hamburger menu, which opens after you click on it.","hamTop","11579.399999999441","1","1","0","23406.700000000186","1","4","0","4","4","6","6","5","6","7","7","bottomBar","18224.799999999814","1","3","0","16731.900000000373","1","1","0","6","6","7","7","4","3","3","3","Yes","","",""
"508","21","big","true","Y","384x718","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","5e5023405c27990580d81c72","63","woman","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","17513.60000000149","1","2","0","100006.39999999851","0","10","15","4","4","4","3","4","3","3","3","hamTop","51207","1","3","0","13507.89999999851","1","1","0","4","4","4","5","4","3","4","4","Yes","","",""
"509","21","small","true","Y","375x526","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/120.1  Mobile/15E148 Safari/605.1.15","651f06100e2e65e3d03ba613","52","woman","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","19574","1","3","0","9309","1","1","0","5","5","4","5","7","6","6","6","hamTop","13089","1","1","0","28388","1","2","0","5","5","4","5","4","5","4","4","Yes","","",""
"510","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"511","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"512","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
